sy_dist,pl_rade,pl_bmasse,pl_orbsmax,pl_insol,pl_eqt,discoverymethod,disc_year,st_spectype,pl_radj,pl_bmassj
321.296,3.67,14.67,0.13,160.0,990.0,Transit,2020,G8 IV/V,0.327,0.04616
27.9276,2.025,11.7,0.0385,7.2,456.0,Transit,2019,M2.5 V,0.181,0.03681
14.6427,2.742,8.17,0.0149,21.0,596.0,Transit,2009,M4 V,0.245,0.02571
9.44181,1.217,1.84,0.035,12.6,525.0,Transit,2019,M2.5 V,0.109,0.00579
15.8095,1.15,1.21,0.02569,17.5,569.0,Transit,2022,M3.5 V,0.103,0.00381
8.07426,1.343,3.0,0.01713,41.3,706.0,Radial Velocity,2021,M3.5 V,0.12,0.00944
8.07426,1.305,2.82,0.01734,40.3,701.0,Radial Velocity,2021,M3.5 V,0.116,0.00887
12.0445,1.331,1.9,0.01406,130.0,940.0,Transit,2023,M1.5 V,0.119,0.00598
29.661,1.58,3.69,0.0206,256.0,1114.0,Transit,2017,K6 V,0.141,0.01161
29.661,1.24,1.45,0.0429,59.0,771.0,Transit,2017,K6 V,0.111,0.00456
29.661,1.269,2.42,0.03942,72.0,811.0,Transit,2017,K5 V,0.113,0.00761
29.661,1.98,3.02,0.053,34.9,675.0,Transit,2017,K7 V,0.177,0.0095
29.661,2.04,2.35,0.0611,29.0,646.0,Transit,2017,K6 V,0.182,0.00739
29.661,2.07,5.2,0.05615,35.6,680.0,Transit,2017,K5 V,0.185,0.01636
12.21,0.958,3.87,0.0668,1.62,315.0,Transit,2024,M3.0 V,0.085,0.01218
12.21,0.9,10.0,0.067,1.6,315.0,Transit,2024,M4 V,0.08,0.03146
53.6089,3.41,10.0,0.0804,100.0,880.0,Transit,2020,G9 V,0.304,0.03146
53.6089,3.195,8.0,0.1752,21.0,600.0,Transit,2020,G9 V,0.285,0.02517
23.606,2.25,6.1,0.0629,72.9,743.0,Transit,2023,K2.5 V,0.201,0.01919
28.2938,2.501,14.4,0.1163,26.5,632.0,Transit,2021,K0 V,0.223,0.04531
39.0341,2.0,8.32,0.1162,16.0,543.0,Transit,2019,K4 V,0.178,0.02618
39.0341,1.87,3.41,0.1646,7.96,467.0,Transit,2019,K4 V,0.167,0.01073
39.0341,0.75,0.55,0.04298,117.0,909.0,Transit,2022,K4 V,0.067,0.00173
39.0341,0.818,0.72,0.068,46.7,723.0,Transit,2022,K4 V,0.073,0.00227
39.0341,1.137,0.77,0.0906,26.3,630.0,Transit,2022,K4 V,0.101,0.00242
10.0055,1.24,2.14,0.02933,42.2,709.0,Transit,2022,M0 V,0.111,0.00673
10.0055,1.533,3.09,0.04749,16.1,557.0,Transit,2022,M0 V,0.137,0.00972
57.5846,2.45,7.8,0.1202,132.0,943.0,Transit,2021,F V,0.219,0.02454
31.5666,2.79,10.2,0.0604,43.3,714.0,Transit,2022,K4 V,0.249,0.03209
31.5666,2.84,15.9,0.05995,46.2,743.0,Transit,2022,K4,0.253,0.05003
31.5666,2.39,9.7,0.1242,10.2,498.0,Transit,2022,K4 V,0.213,0.03052
203.896,2.242,11.44182,0.075,67.0,729.0,Transit,2018,K2 V,0.2,0.036
115.461,1.75,8.0,0.028,248.0,1103.0,Transit,2018,K5 V,0.156,0.02517
154.961,2.59,9.68,0.03817,234.31,1089.0,Transit,2018,K2 V,0.231,0.03046
154.961,3.53,15.68,0.0824,50.35,741.0,Transit,2018,K2 V,0.315,0.04933
154.961,2.48,6.5,0.1178,24.61,620.0,Transit,2018,K2 V,0.221,0.02045
154.961,1.95,10.7,0.18041,10.5,501.0,Transit,2018,K2 V,0.174,0.03367
44.0727,2.078,5.11,0.0747,10.5,501.0,Transit,2015,M V,0.185,0.01608
44.0727,1.582,2.68,0.1357,3.17,372.0,Transit,2015,M V,0.141,0.00843
192.69,2.42,9.9,0.0964,128.3,858.0,Transit,2016,G2 V,0.216,0.03115
192.69,2.29,8.3,0.09514,117.0,916.0,Transit,2016,G2 V,0.204,0.02611
21.8182,1.015,7.5,0.027,4.82,412.0,Transit,2023,M5 V,0.091,0.0236
10.6194,0.85,0.4,0.02191,24.7,627.0,Transit,2019,M3 V,0.076,0.00126
10.6194,1.385,2.22,0.0304,12.8,553.0,Transit,2019,M3 V,0.124,0.00698
10.6194,1.521,1.94,0.0486,5.01,416.0,Transit,2019,M3 V,0.136,0.0061
14.9861,1.43,6.65,0.0875,0.46,230.0,Transit,2017,M4.5 V,0.128,0.02092
14.9861,1.73,5.6,0.0946,0.43,226.0,Transit,2017,M4.5 V,0.154,0.01762
14.9861,1.272,1.91,0.027,5.3,422.0,Transit,2018,M4.5 V,0.113,0.00601
26.4927,2.438,7.1,0.02961,2.64,324.0,Transit,2019,M(6.1 +/- 0.7) V,0.218,0.02234
26.4927,1.032,0.9,0.01992,5.83,396.0,Transit,2023,M(6.1 +/- 0.7) V,0.092,0.00283
32.4298,1.32,13.2,0.01875,4.09,396.0,Transit,2022,M6 V,0.118,0.04153
21.9814,1.332,2.62,0.01211,106.0,892.0,Transit,2020,M4 V,0.119,0.00824
21.9814,1.35,2.34,0.01203,116.0,1000.0,Transit,2020,M3.5 V,0.12,0.00736
21.9814,2.42,6.29,0.0762,2.88,397.0,Transit,2020,M3.5 V,0.216,0.01979
21.9814,2.3,8.6,0.07673,2.63,353.0,Transit,2020,M4 V,0.205,0.02706
82.1733,2.265,10.15,0.052,232.0,1077.0,Transit,2021,G9 V,0.202,0.03194
37.8871,2.415,6.28,0.0287,40.6,703.0,Transit,2021,M2.0 V,0.215,0.01976
27.6227,3.65,15.4,0.1288,1.93,330.0,Transit,2021,M3 V,0.326,0.04845
39.6345,1.694,5.9,0.03826,60.3,775.0,Transit,2020,M0.5 V,0.151,0.01856
169.422,3.01,8.1,0.049,196.0,955.0,Transit,2022,K V,0.269,0.02549
169.422,2.51,8.8,0.061,129.0,860.0,Transit,2022,K V,0.224,0.02769
169.422,3.51,5.3,0.131,28.0,586.0,Transit,2022,K V,0.313,0.01668
111.059,2.726,9.5,0.05186,185.0,1037.0,Transit,2019,K0 V,0.243,0.02989
111.059,2.759,6.63,0.0814,77.59,828.0,Transit,2019,K0 V,0.246,0.02086
111.059,2.93,13.6,0.137,26.7,638.0,Transit,2020,K0 V,0.261,0.04279
73.5977,2.34,8.6,0.0366,91.0,860.0,Transit,2021,K6 V,0.209,0.02706
73.5977,2.82,11.8,0.0656,28.4,643.0,Transit,2021,K6 V,0.252,0.03713
36.0118,2.37,13.5,0.0736,4.9,413.0,Transit,2020,M3,0.211,0.04248
36.0118,2.458,15.9,0.0745,4.72,410.0,Transit,2020,M2 V,0.219,0.05003
36.0118,2.62,4.23,0.0728,5.5,425.0,Transit,2020,M3 V,0.234,0.01331
36.0118,1.673,6.4,0.1037,2.42,347.0,Transit,2020,M2 V,0.149,0.02014
36.0118,1.56,2.2,0.1058,2.3,344.0,Transit,2020,M3,0.139,0.00692
36.0118,2.13,2.88,0.1047,2.7,354.0,Transit,2020,M3 V,0.19,0.00906
30.5212,1.672,4.82,0.061,1.8,326.0,Transit,2022,M4 &#177 0.5 V,0.149,0.01517
51.9503,2.18,7.32,0.0285,46.3,734.0,Transit,2023,M1.5 V,0.194,0.02303
51.9503,2.47,7.24,0.106,3.35,373.0,Transit,2023,M1.5 V,0.22,0.02278
35.2736,1.79,4.91,0.01545,121.0,924.0,Transit,2021,M2,0.16,0.01545
37.6153,1.468,3.03,0.01138,236.0,1062.0,Transit,2021,M2.65 V,0.131,0.00953
45.1309,1.9,6.36,0.033548,39.0,698.0,Transit,2022,M1 V,0.17,0.02001
40.0654,3.14,10.8,0.1177,6.39,443.0,Transit,2022,M0.0 V,0.28,0.03398
47.3444,3.39,16.4,0.0301,11.47,512.0,Transit,2023,M4,0.302,0.0516
41.9176,1.25,4.1,0.101,3.43,347.0,Transit,2023,M2.5 V,0.112,0.0129
41.9176,1.33,7.4,0.137,1.84,297.0,Transit,2023,M2.5 V,0.119,0.02328
22.6202,2.69,9.13,0.078,32.0,666.0,Transit,2023,K5 V,0.24,0.02873
33.3631,2.19,6.37,0.057,4.0,395.0,Transit,2022,M4.5 V,0.195,0.02004
80.5407,2.18,6.7,0.0749,58.3,696.0,Radial Velocity,2024,K2V,0.194,0.02108
22.0337,1.52,2.68,0.0559,7.3,458.0,Transit,2023,M2.5 V,0.136,0.00843
57.0225,2.77,8.8,0.0345,19.0,531.0,Transit,2021,M2 V,0.247,0.02769
74.7969,2.68,7.17,0.056,154.57,981.0,Transit,2020,G9 V,0.239,0.02256
30.0346,2.52,5.4,0.0534,6.0,435.0,Transit,2024,M3.5 V,0.225,0.01699
85.799,2.91,5.39,0.0884,68.2,800.0,Transit,2020,G9 V,0.26,0.01696
85.799,2.82,13.2,0.158,21.4,598.0,Transit,2020,G9 V,0.252,0.04153
35.8256,1.09,4.3,0.018288,41.7,708.0,Transit,2024,M3.5 +/- 1.0,0.097,0.01353
23.1008,1.03,4.0,0.010777,41.5,707.0,Transit,2024,M5.0,0.092,0.01259
64.2308,2.27,4.45,0.0295,49.1,674.0,Transit,2024,M1 V,0.203,0.014
64.2308,2.26,3.65,0.0437,22.3,553.0,Transit,2024,M1 V,0.202,0.01148
64.2308,1.92,5.2,0.0576,12.9,482.0,Transit,2024,M1 V,0.171,0.01636
75.2092,1.992,5.72,0.0618,207.1,1056.0,Transit,2023,G,0.178,0.018
27.1701,1.85,4.0,0.0652,11.5,514.0,Transit,2020,M1 V,0.165,0.01259
27.1701,2.02,5.3,0.1,4.9,415.0,Transit,2020,M1 V,0.18,0.01668
59.7117,2.94,7.6,0.0903,36.9,686.0,Transit,2024,K3 V,0.262,0.02391
27.5024,1.704,4.53,0.0422,78.84,871.0,Transit,2023,K V,0.152,0.01425
27.5024,2.587,9.6,0.075,26.71,665.0,Transit,2023,K V,0.231,0.0302
175.748,3.186,16.137,0.041657,80.88,1317.0,Transit,2023,G V,0.284,0.05077
77.2554,2.765,9.1,0.02636,188.0,941.0,Transit,2022,K V,0.247,0.02863
28.5321,1.24,2.53,0.01,233.9,996.0,Transit,2024,M2.5 V,0.111,0.00796
18.2702,2.042,4.82,0.06839,309.0,1170.0,Transit,2018,G0 V,0.182,0.01517
